Details of Outward Supplies,Ledger,Customer name,GSTIN/UIN,Place of supply,Invoice Details,Tax invoice number,Invoice date,GL Date,Currency,Currency Rate,Invoice value (Foreign),Invoice value (INR),Rate,Taxable value  (Foreign),Taxable value (INR),IGST,IGST amount,CGST,CGST amount,SGST/UTGST,SGST/UTGST amount,CESS,Cess amount,D0138CR2002A02,Data_Column_25,Nature of supply,Nil Rated Supplies,Data_Column_28,Non GST supply,Type of Export,E-commerce Operator,Party Name,SEZ Flag,Party Number,GSTIN Number
Header Details,,,,,Invoice Details,,,,,,,,,,,IGST,,CGST,,SGST/UTGST,,CESS,,Shipping bill/ Bill of export details,,Nature of supply,,,,,,,,,
S.No,Ledger,Customer name,GSTIN/UIN,Place of supply,Invoice  number,Tax invoice number,Invoice date,GL Date,Currency,Currency Rate,Invoice value (Foreign),Invoice value (INR),Rate,Taxable value  (Foreign),Taxable value (INR),IGST rate,IGST amount,CGST rate,CGST amount,SGST/UTGST rate,SGST/UTGST amount,Cess rate,Cess amount,Shipping bill/ Bill of export number,Shipping bill/ Bill of export date,Zero Rated Supplies,Nil Rated Supplies,Exempted (Other than Nil rated/non-GST supply),Non GST supply,Type of Export,E-commerce Operator,,,,
1,‭0138‬,0003 - EATON CORPORATION,,,2401382241,,2025-02-01 00:00:00,2025-02-01 00:00:00,USD,85.61,2097585,179574251.85,0,2097585,179574251.85,0,0,,,,,,,,,,Yes,,,Export LUT sales,,,,,
2,‭0138‬,0270 - EATON INDIA INNOVATION CENTER LLP,27AAFFE4333D1ZT,Maharashtra,2401382261,,2025-02-01 00:00:00,2025-02-01 00:00:00,INR,,,267443,0,,267443,0,0,,,,,,,,,,Yes,,,Export LUT sales,,0270 - EATON INDIA INNOVATION CENTER LLP,Yes,115967.0,27AAFFE4333D1ZT
3,‭0138‬,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382281,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,36479.06,0,,36479.06,0,0,,,,,,,D0138CR2002A02,,,Yes,,,SEZ Supplies under LUT,,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,115723.0,27AABCE4323Q1ZE
3,‭0138‬,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382281,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,36479.06,0,,36479.06,0,0,,,,,,,D0138CR2002A02,,,Yes,,,SEZ Supplies under LUT,,0238 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,125933.0,27AABCE4323Q1ZE
3,‭0138‬,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382281,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,36479.06,0,,36479.06,0,0,,,,,,,D0138CR2002A02,,,Yes,,,SEZ Supplies under LUT,,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,126293.0,27AABCE4323Q1ZE
3,‭0138‬,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382281,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,36479.06,0,,36479.06,0,0,,,,,,,D0138CR2002A02,,,Yes,,,SEZ Supplies under LUT,,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,120229.0,27AABCE4323Q1ZE
4,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382282,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,83370.67,0,,83370.67,0,0,,,,,,,D0138CR2002A03,,,Yes,,,SEZ Supplies under LUT,,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,115723.0,27AABCE4323Q1ZE
4,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382282,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,83370.67,0,,83370.67,0,0,,,,,,,D0138CR2002A03,,,Yes,,,SEZ Supplies under LUT,,0238 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,125933.0,27AABCE4323Q1ZE
4,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382282,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,83370.67,0,,83370.67,0,0,,,,,,,D0138CR2002A03,,,Yes,,,SEZ Supplies under LUT,,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,126293.0,27AABCE4323Q1ZE
4,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382282,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,83370.67,0,,83370.67,0,0,,,,,,,D0138CR2002A03,,,Yes,,,SEZ Supplies under LUT,,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,120229.0,27AABCE4323Q1ZE
5,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382283,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,66859.89,0,,66859.89,0,0,,,,,,,D0138CR2002A04,,,Yes,,,SEZ Supplies under LUT,,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,115723.0,27AABCE4323Q1ZE
